STEREOSET,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1. No Finetuning and No Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,GPT-3.5 norm,Ada,GPT-2,Ada - bias,GPT-3.5 bias,Distilbert Bias,Bert Bias,,,,,,,,,,,,,
,Gender,0.51,0.36,0.48,0.36,0.49,0.34,0.61,0.3,0.07,,,,,,,,,,,,,
,Race,0.50,0.26,0.41,0.33,0.33,0.34,0.82,0.36,0.09,,,,,,,,,,,,,
,Profession,0.48,0.23,0.42,0.35,0.39,0.31,0.67,0.35,0.08,,,,,,,,From,Legend,,,,
,Religion,0.53,0.27,0.37,0.29,0.27,0.38,0.68,0.35,0.08,,,,,,,,Yash,tick,each type individual evaluation done,,,
,,,,,,,,,,,,,,,,,,Yash,half-tick ,only half done,,,
,,intersentence_df_bert*,intersentence_distilbert*,intersentence_df_updated_gpt-3.5*,intersentence_df_updated_completion_ada*,intersentence_df_updated_gpt_2*,intersentence_df_updated_completion_ada_bias*,intersentence_df_updated_gpt-3.5_bias_2*,distilbert_stereo_bias,bert_stereo_bias,,,,,,,,,,,,,
,,tick,tick,tick,tick,tick,tick,tick,tick,tick,,,,,,,,,,,,,
,,,,bow_stereoset-noftnorm.ipynb,,,,bow_stereoset-noftbias.ipynb,,,,,,,,,,,,,,,
2. Finetuning and No Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,GPT 3.5 Train Normal,GPT 3.5 Train bias,Bert Bias,Distilbert Bias,,gpt-sysrole ft norm,gpt-sysrole ft bias,gpt-bow ft norm,gpt-bow ft bias,Bert - Positive Bias Addition ,Bert Bias - Positive Bias Addition ,DistilBert - Positive Bias Addition ,DistilBert Bias - Positive Bias Addition ,,,,,,,
,Gender,0.24,0.53,0.48,0.80,0.52,0.57,,0.44,0.75,0.47,0.68,0.1,0.55,0.46,0.53,,,,,,,
,Race,0.16,0.5,0.24,0.90,0.66,0.61,,0.24,0.87,0.22,0.86,0.17,0.56,0.49,0.5,,,,,,,
,Profession,0.19,0.55,0.35,0.86,0.63,0.61,,0.35,0.8,0.34,0.76,0.22,0.62,0.51,0.56,,,,,,,
,Religion,0.1,0.53,0.26,0.84,0.71,0.57,,0.27,0.74,0.27,0.84,0.14,0.53,0.48,0.5,,,,,,,
,,output_bert_ft,output_distilbert_ft,ft_norm,ft_bias,bert_ft_stereo_bias,distilbert_stereoset_ft_bias,,ft_norm_role,ft_bias_role,ft_norm_bow,ft_bias_bow,bert_ft_addition_of_positive_bias,bert_ft_bias_addition_of_positive_bias,distilbert_stereoset_ft_positive_bias_addition,distilbert_stereoset_ft_bias_addition_of_positive_bias,,,,,,,
,,tick,tick,x,x,tick,tick,,,,,,tick - most answers are unrelated,tick - most answers are unrelated,tick,tick,,,,,,,
3. Finetuning and Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,Finetuned on aug - T5,T5 - Bias,GPT 3.5 ft on aug ,Bert Bias w/ T5 aug,Distilbert Bias w/ T5 aug,,,,,,,,,,,,,,,
,Gender,0.32,0.60,0.48,0.69,0.46,0.61,0.54,,,,,,,,,,,,,,,
,Race,0.43,0.57,0.29,0.83,0.21,0.52,0.61,,,,,,,,,,,,,,,
,Profession,0.48,0.58,0.36,0.81,0.33,0.59,0.58,,,,,,,,,,,,,,,
,Religion,0.41,0.64,0.31,0.84,0.29,0.6,0.6,,,,,,,,,,,,,,,
,,output_bert_ft_aug,output_distilbert_stereoset_ft_aug,ft_norm_aug-t5,ft_on_aug-t5_bias_base,ft_norm_aug-gpt,bert_stereoset_ft_aug_bias,distilbert_stereoset_ft_aug_bias,,,,,,,,,,,,,,,
,,tick,tick,x,x,x,tick,tick,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4. Cross Eval,,Test stereoset data w/crows_pairs model,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Cross with GPT 3.5 w/T5 aug,Cross with GPT 3.5 Bias w/T5 aug,Cross w/GPT3.5 no aug - norm,Cross w/GPT3.5 no aug - bias,Bert ,Bert Bias,Bert w/ T5 aug,Bert w/ t5 aug bias,DistilBert ,DistilBert Bias,DistilBert w/ T5 aug,DistilBert w/ t5 aug bias,,,,,,,,,,
,gender,0.51,0.55,0.41,0.58,0.09,0.12,0.59,0.54,0.28,0.31,0.19,0.21,,,,,,,,,,
,race,0.21,0.83,0.12,0.89,0.11,0.15,0.53,0.53,0.62,0.61,0.48,0.47,,,,,,,,,,
,profession,0.34,0.67,0.28,0.72,0.1,0.13,0.53,0.53,0.43,0.45,0.26,0.25,,,,,,,,,,
,religion,0.23,0.72,0.16,0.74,0.05,0.05,0.55,0.62,0.57,0.59,0.43,0.45,,,,,,,,,,
,,ft_norm_base,ft_bias_base,ft_norm_base,ft_bias_base,bert_ft_crows_tested_stereoset,bert_ft_crows_tested_stereoset_bias,bert_ft_crows_tested_stereoset_aug,bert_ft_crows_tested_stereoset_aug_bias,distilbert_crow_ft_tested_stereoset,distilbert_crows_ft_tested_stereoset_bias,distilbert_crow_ft_tested_stereoset_aug,distilbert_crows_ft_tested_stereoset_aug_bias,,,,,,,,,,
,,x,x,x,x,tick - notes: gave most answers as unrelated,tick - notes: gave most answers as unrelated,tick,tick,tick,tick,"tick, notes:most are unrelated","tick, notes: most are unrelated",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5. Ran on Aug Data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
